"number","frn","business_name","business_address","foreign_voice_provider","country","other_frns","other_dba_names","previous_dba_names","robocall_mitigation_contact_name","contact_title","contact_department","contact_business_address","contact_country","contact_telephone_number","contact_phone_extension","implementation","voice_service_provider_choice","gateway_provider_choice","intermediate_provider_choice","last_updated","filing_url"
"RMD0001484","0001789080","Inter Mountain Cable, Inc.","5 Laynesville Rd
PO Box 160
Harold KY 41635","No","United States of America","0014471288","none","none","Neil Justice","Central Office Manager","Central Office","5 Laynesville Rd
PO Box 160
Harold KY 41635","United States of America","6064789401","6351","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-21","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d16cbb401b84745064c4426de54bcb92&view=sp"
"RMD0001485","0022767727","Edge Communications Solutions LLC","6505 Windcrest Drive
Suite 200
Plano TX 75024","No","United States of America","None","None","Smartedgenet LLC","Mark Weber","Director - Voice Operations","Carrier Services","6505 Windcrest Drive
Suite 200
Plano TX 75024","United States of America","9727299231","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-04-01","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=774c3b801b0434502eb2a82fe54bcb7a&view=sp"
"RMD0001486","0001791995","Gearheart Communications","5 Laynesville Road
PO Box 160
Harold KY 41635","No","United States of America","none","Coalfields Telephone Company","none","Neil Justice","Central Office Manager","Central Office","5 Laynesville Road
PO Box 160
Harold KY 41635","United States of America","6064789401","6351","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-20","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e5ed3b441b84745064c4426de54bcb51&view=sp"
"RMD0001487","0019860642","Mikrotec Communications of VA, LLC","20 Laynesville Rd
Harold KY 41635","No","United States of America","none","Inter Mountain Cable","none","Neil Justice","Central Office Manager","Central Office","20 Laynesville Rd
Harold KY 41635","United States of America","6064789401","6351","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-21","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=04ee3fc81b4c34509294113d9c4bcb5e&view=sp"
"RMD0001488","0030890438","Latino Communications Corp","5215 N O'Connor Blvd
Ste 1725
Irving TX 75039","No","United States of America","0016408494;0023022023","None","None","Jose Luis Valdes","CTO/Director of Operations","Operations","5215 N O'Connor Blvd
Ste 1725
Irving TX 75039","United States of America","'+1 972-444-4563","","Complete STIR/SHAKEN Implementation","No","Yes","No","2025-01-06","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=32afff081b84745064c4426de54bcb07&view=sp"
"RMD0001489","0022699458","9171-5573 Quebec Inc","2480, boul. des Entreprises, Suite 200
Quebec J6X 4J8 Terrebonne, Canada","Yes","Canada","None","VoIP.ms","None","David Rouleau","Chief Executive Officer","Management","2480, boul. des Entreprises
Suite 200
Terrebonne J6X4J8
Quebec","Canada","'+1-844-866-4767","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9df0d8141b08745064c4426de54bcb74&view=sp"
"RMD0001490","0025773797","Inventive Labs Corporation","6400 S Fiddlers Green Circle
Suite 300
Greenwood Village CO 80111","No","United States of America","None","Inventive Labs Corporation DBA Voice Elements Corporation
Inventive Labs Corporation DBA Voice Elements","None","Ron Tanner","President","President","6400 S Fiddlers Green Cir
STE 300
Greenwood Village CO 80111","United States of America","8669235290","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-01-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b684e0941b88745064c4426de54bcb42&view=sp"
"RMD0001491","0009558909","DigitalPath, Inc.","1065 Marauder Street
Chico CA 95973","No","United States of America","0015092919","None","None","Andrew Cardin","SVP Operations","Management","1065 Marauder Street
Chico CA 95973","United States of America","530-571-7541","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-10-11","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=0a64d51c1b8074509294113d9c4bcbf4&view=sp"
"RMD0001492","0002212314","Kingdom Telephone Company","211 S Main Street
P.O. Box 97
Auxvasse MO 65231","No","United States of America","0018928994","Kingdom Telecommunications, Inc. dba: Phynx Fiber","None","Caleb Pashia","CEO","Executive","211 S Main Street
P.O. Box 97
Auxvasse MO 65231","United States of America","573-826-4799","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-01-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f80b779c1b48f4507ccf20ecac4bcb0b&view=sp"
"RMD0001493","0018928994","Kingdom Telecommunications Inc","211 South Main
Auxvasse MO 65231","No","United States of America","0002212314","Kingdom Telephone Company","None","Caleb Pashia","CEO","Executive","211 South Main
Auxvasse MO 65231","United States of America","573-826-4799","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-01-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c4bb73dc1b48f4507ccf20ecac4bcb94&view=sp"
"RMD0001495","0021193057","Terra Nova Telecom, Inc.","11523 Palmbrush Trail
Ste 401
Lakewood Ranch FL 34202","No","United States of America","None","None","None","Nick Olsen","Engineering Lead","NOC","11523 Palmbrush Trail
Lakewood Ranch FL 34202","United States of America","3214288880","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-01-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a44f34ec1bc0b45002beea82f54bcbdc&view=sp"
"RMD0001496","0024241572","Ontario Systems, LLC, dba Finvi","1150 West Kilgore Avenue
Muncie IN 47305","No","United States of America","None","Finvi","None","Angela Erwin","Vice President Risk and Compliance","Risk/Legal","700 District Avenue
9th Floor
Burlington MA 01803","United States of America","7657517236","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-03","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b3c4dd241b84b45002beea82f54bcb83&view=sp"
"RMD0001497","0003742038","Ellsworth Cooperative Telephone Association","1540 DeWitt street
PO Box 458
Ellsworth IA 50075","No","United States of America","none","none","none","Joshua Angove","GM","Executive","1540 DeWitt street
PO Box 458
Ellsworth IA 50075","United States of America","515-836-4431","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7cd8b1ac1b44b4509294113d9c4bcb31&view=sp"
"RMD0001498","0023688948","MVP Holdings LTD.","PO Box 114
Medina OH 44258","No","United States of America","None","Trace Routes","None","Jim White","President","Executive","PO Box 114
Medina OH 44258","United States of America","330-591-4721","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-09-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9d83e9b81b4078507ccf20ecac4bcbf2&view=sp"
"RMD0001499","0030777312","South Dakota Telecom LLC","25 First Ave. SW
Suite A
Watertown SD 57201","No","United States of America","None","None","None","N/A","N/A","N/A","N/A","","N/A","","N/A","No","No","Yes","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e6c132051b40b8507ccf20ecac4bcb6a&view=sp"
"RMD0001500","0029115482","G4Telecom, Inc.","1621 Central Avenue
Cheyenne WY 82001","No","United States of America","None","None","None","N/A","N/A","N/A","N/A","","N/A","","N/A","No","No","Yes","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=635436851b40b8507ccf20ecac4bcb14&view=sp"
"RMD0001501","0023119464","Third Base International Telecom LLC","3949 Evans Ave -Ste 301B
Fort Myers FL 33901","No","United States of America","None","TBI Telecom","None","Mark Saccente Sr","Mark Saccente Sr","Executive","3949 Evans  Ave -Suite 301B
Fort Myers FL 33901","United States of America","2399357286","1001","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-10","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ba8dbfdd1b8c38509294113d9c4bcbcd&view=sp"
"RMD0001502","0026248831","Hadlo Technologies, LLC","4935 Main St.
STE 7-304
Spring Hill TN 37174","No","United States of America","None","None","None","Thomas Hadden","CEO","Operations","4935 Main St.
STE 7-304
Spring Hill TN 37174-2735","United States of America","615-814-0102","","Complete STIR/SHAKEN Implementation","Yes","Yes","No","2025-02-19","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=213848a11b4078502eb2a82fe54bcb15&view=sp"
"RMD0001504","0019720747","Votacall, Inc","1504 Providence Highway
Suite #19
Norwood MA 02062","No","United States of America","None","None","None","Jason Waldrup","Director of Technology","Management","1504 Providence Highway
Suite #19
Norwood MA 02062","United States of America","7816930630","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-11","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=84a668711b04b8509294113d9c4bcb13&view=sp"
"RMD0001505","0005009725","State Telephone Company, Inc.","46 Reed St.
Coxsackie NY 12051","No","United States of America","None","None","None","Mark R Evans","Vice-President","Regulatory","46 Reed St.
Coxsackie NY 12051","United States of America","518-731-6128","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-10-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f574f8b91b44b8509294113d9c4bcbbf&view=sp"
"RMD0001506","0004314068","State Telephone Long Distance Company, Inc.","46 Reed Street
Coxsackie NY 12051","No","United States of America","None","dba State Tel-Athens","None","Mark R Evans","Vice-President","Regulatory","46 Reed Street
Coxsackie NY 12051","United States of America","518-731-6128","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-10-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7b96b8fd1b44b8509294113d9c4bcb3c&view=sp"
"RMD0001507","0002590032","Woolstock Mutual Telephone Association","227 West Herman St.
PO Box 155
Woolstock IA 50599","No","United States of America","None","None","None","Chris Simmons","General Manager","Main Office","227 West Herman St
Woolstock IA 50599","United States of America","5158395571","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=008a85751bc83c507ccf20ecac4bcb29&view=sp"
"RMD0001508","0003707767","Hamilton Telephone Company","1006 12th Street
Aurora NE 68818","No","United States of America","none","Hamilton Telecommunications","none","William Mark Sellers","Voice and Data Engineer","Wide Area Network","1006 12th Street
Aurora NE 68818","United States of America","4026945101","7275","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-19","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=16f395b11b483c5064c4426de54bcbd5&view=sp"
"RMD0001509","0003708013","Hamilton Long Distance Company","1006 12th Street
Aurora NE 68818","No","United States of America","none","Hamilton Telecommunications","none","William Mark Sellers","Voice and Data Engineer","Wide Area Network","1006 12th Street
Aurora NE 68818","United States of America","4026945101","7275","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=331591751b483c5064c4426de54bcbaa&view=sp"
"RMD0001510","0030311997","T C N, Incorporated","162 N 400 E B200
St George UT 84770","No","United States of America","None","None","None","Adam Bird","CFO","Finance","162 N 400 E B200
St George UT 84770","United States of America","8667451903","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=90579db91b88b8509294113d9c4bcbb4&view=sp"
"RMD0001511","0006833412","Broadband Dynamics, L.L.C.","8757 E Via De Commercio
First floor
Scottsdale AZ 85258","No","United States of America","None","None","Arizona Telephony Brokers, LLC","Jennifer Smith","Vice President of Compliance","Operations","8757 E Via De Commercio
First floor
Scottsdale AZ 85258","United States of America","602-357-3600","356","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-01-20","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8c882d791bc8b8502eb2a82fe54bcb7b&view=sp"
"RMD0001513","0004384111","DUNBARTON TELEPHONE COMPANY, INC.","2 STARK  HIGHWAY SOUTH
DUNBARTON NH 03046","No","United States of America","none","none","none","David P. Montgomery","President","Executive","2 STARK  HIGHWAY SOUTH
DUNBARTON NH 03046","United States of America","603-774-9911","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-10-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d04cf9f51b4cb8502eb2a82fe54bcbc5&view=sp"
"RMD0001514","0019816354","Voxbeam Telecommunications Inc.","6314 Kingspointe Pkwy
Suite 1
ORLANDO FL 32819","No","United States of America","None","Magic Telecom","None","Steve Kay","CEO","Executive","6314 Kingspointe Pkwy
ORLANDO FL 32819","United States of America","4079651077","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-07-02","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=455b827d1b807c507ccf20ecac4bcb00&view=sp"
"RMD0001515","0022477103","Netrio, LLC","116 N. Tennessee St.
Suite 200
McKinney TX 75069","No","United States of America","None","Netrio","None","Steve Weltner","Manager","Porting and Provisioning","116 N. Tennessee St.
McKinney TX 75069","United States of America","2148888504","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-10-01","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=12709a351bc07c507ccf20ecac4bcbfa&view=sp"
"RMD0001516","0028706448","Amplify Networks Inc","170 Skyline Summit Vista
Wimberley TX 78676","No","United States of America","None","None","None","Roland S Davis","President","Executive","16515 Ranch Rd. 12
#424
Wimberley TX 78676","United States of America","281-804-7059","","Complete STIR/SHAKEN Implementation","No","No","Yes","2024-02-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b509d2f91b04f8509294113d9c4bcbfa&view=sp"
"RMD0001517","0026368233","OpenSIP.com","3815 Bayer Avenue
Suite 100
Long Beach CA 90808","No","United States of America","none","none","none","Support","Support","Support","3815 Bayer Avenue
Suite 100
Long Beach CA 90808","United States of America","8884634237","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=40452ab11b84f8509294113d9c4bcb3a&view=sp"
